Emotion,Timestamp,Value
Neutral,1.0,1.0
Neutral,2.0,1.0
Neutral,3.0,1.0
Neutral,4.0,1.0
Neutral,5.0,1.0
Neutral,6.0,1.0
Neutral,7.0,1.0
Neutral,8.0,1.0
Neutral,9.0,1.0
Neutral,10.0,1.0
Neutral,11.0,1.0
Neutral,12.0,1.0
Neutral,13.0,1.0
Neutral,14.0,1.0
Neutral,15.0,1.0
Neutral,16.0,1.0
Neutral,17.0,1.0
Neutral,18.0,1.0
Neutral,19.0,1.0
Neutral,20.0,1.0
Neutral,21.0,1.0
Neutral,22.0,1.0
Neutral,23.0,1.0
Neutral,24.0,1.0
Neutral,25.0,1.0
Neutral,26.0,1.0
Neutral,27.0,1.0
Neutral,28.0,1.0
Neutral,29.0,1.0
Fearful,30.0,0.9999999
